#227 - Estremadura

#owner = POR
#controller = POR
culture = portugese
religion = matrem
capital = "Lisboa"
trade_goods = unknown
hre = no
base_tax = 1
base_production = 1
base_manpower = 1
is_city = no
#add_core= POR
discovered_by = high_american 
discovered_by = RED
discovered_by = indian
discovered_by = indian
fort_15th = yes
discovered_by = high_american 
discovered_by = RED
extra_cost = 25

add_permanent_province_modifier = {
	name = tagus_estuary_modifier
	duration = -1
}
center_of_trade = 2

# = { fort_15th = no fort_16th = yes }
# = { #controller = SPA }
# = { #controller = POR }
# = { unrest = 8 } # Revolt headed by John of Bragança
# = { unrest = 0 }
# = { fort_16th = no fort_17th = yes }
# = { fort_17th = no fort_18th = yes } #(after the earthquake)
# = { #controller = FRA } # Occupied by France
# = { #controller = POR }


native_size = 5
native_ferocity = 1
native_hostileness = 3
