#873 - Chinook

#owner = CNK
#controller = CNK
#add_core= CNK
is_city = no
culture = chinook
religion = totemism
capital = "Chinook" 
trade_goods = unknown
hre = no 
base_tax = 1
base_production = 1
base_manpower = 1
native_size = 10 
native_ferocity = 1 
native_hostileness = 6 
discovered_by = western 
discovered_by = eastern 
discovered_by = muslim 
discovered_by = ottoman
discovered_by = nomad_group
extra_cost = 10

add_permanent_province_modifier = {
	name = columbia_estuary_modifier
	duration = -1
}




discovered_by = NRU 
discovered_by = NRA
