#748 - Grao Para

#owner = TPA
#controller = TPA
#add_core= TPA
culture = tupinamba
discovered_by = south_american 
discovered_by = andean
discovered_by = brazilian
religion = animism
capital = "Belém"
trade_goods = cocoa
is_city = no
hre = no
base_tax = 1
base_production = 2
base_manpower = 1
native_size = 5
native_ferocity = 1
native_hostileness = 3




# = { discovered_by = CAS discovered_by = POR } # Pinzón, Pedro Álvares Cabral 
# = { discovered_by = SPA }

# = {
	#owner = POR
	#controller = POR
	#add_core= POR
	capital = "Belém"
	culture = amazonense
	religion = candomble
#} # Conquered by Portugal, Forte do Presépio

owner = BRZ
controller = BRZ
add_core = BRZ
3053.1.1 = {
	owner = BRZ
	controller = BRZ
}


native_size = 5
native_ferocity = 1
native_hostileness = 3
